Product_Name,Product_Price,Product_Price_Per_Count,Product_Link,Timestamp_Date,Timestamp_Time
"Betaine HCL Pepsin & Gentian Bitters, 120vc by Doctors Best (Pack of 2)",43.52,0.18,https://www.amazon.ca/Betaine-Gentian-Bitters-Doctors-Best/dp/B00HA67WCQ/ref=sr_1_9?crid=10V335RG31K4D&keywords=betaine+pepsin&qid=1657856519&sprefix=betaine+pepsin%2Caps%2C202&sr=8-9,2022-07-14,23:42
"Betaine HCL Pepsin & Gentian Bitters, 120vc by Doctors Best (Pack of 2)",40.68,0.17,https://www.amazon.ca/Betaine-Gentian-Bitters-Doctors-Best/dp/B00HA67WCQ/ref=sr_1_10?crid=DU7JCTMAG5WL&keywords=betaine+pepsin&qid=1658296757&sprefix=betaine+pepsin%2Caps%2C245&sr=8-10,2022-07-20,01:59
"Douglas Laboratories - Betaine Plus - Betaine Hydrochloride with Pepsin to Support Digestion - 250 Capsules",70.5,0.28,https://www.amazon.ca/Douglas-Laboratories-Hydrochloride-Digestion-Capsules/dp/B01M4GKB5F/ref=sr_1_9?crid=DU7JCTMAG5WL&keywords=betaine+pepsin&qid=1658296757&sprefix=betaine+pepsin%2Caps%2C245&sr=8-9,2022-07-20,01:59
"HCl Plu from Biotics Research, Supplies Betaine Hydrochloride, Pepsin, Glutamic Acid and More. Supports Healthy Digestion.",46.53,More buying choices,https://www.amazon.ca/Biotics-Research-HCL-Plus-90-Tablets/dp/B001WUKSPE/ref=sr_1_28?crid=DU7JCTMAG5WL&keywords=betaine+pepsin&qid=1658296757&sprefix=betaine+pepsin%2Caps%2C245&sr=8-28,2022-07-20,01:59
"Now Foods Betaine HCl, 648 mg with 150 mg of Pepsin, 120 Capsules, 2 Pack",41.15,0.17,https://www.amazon.ca/Now-Foods-Betaine-Pepsin-Capsules/dp/B00IYUDM08/ref=sr_1_5?crid=10V335RG31K4D&keywords=betaine+pepsin&qid=1657856519&sprefix=betaine+pepsin%2Caps%2C202&sr=8-5,2022-07-14,23:42
"Now Foods Betaine HCl, 648 mg with 150 mg of Pepsin, 120 Capsules, 2 Pack",49.38,0.21,https://www.amazon.ca/Now-Foods-Betaine-Pepsin-Capsules/dp/B00IYUDM08/ref=sr_1_7?crid=DU7JCTMAG5WL&keywords=betaine+pepsin&qid=1658296757&sprefix=betaine+pepsin%2Caps%2C245&sr=8-7,2022-07-20,01:59
"Pure Encapsulations Betaine HCl Pepsin | Digestive Enzyme Supplement for Digestive Aid* | 250 Capsules",59.75,0.24,https://www.amazon.ca/Pure-Encapsulations-Hypoallergenic-Supplement-Digestive/dp/B07BSKG248/ref=sr_1_6?crid=DU7JCTMAG5WL&keywords=betaine+pepsin&qid=1658296757&sprefix=betaine+pepsin%2Caps%2C245&sr=8-6,2022-07-20,01:59
"SOLARAY – Betaine HCI with Pepsin, 650mg | High Potency with Pepsin | Digestive Health | Dietary Supplement | Non-GMO, Vegan, Lab Verified | 100 Vegetarian Capsules",22.46,0.22,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03031153T54O3T7X48EY&url=%2FSolaray-Betaine-Pepsin-650mg-VegCaps%2Fdp%2FB088G17W22%2Fref%3Dsr_1_1_sspa%3Fcrid%3D10V335RG31K4D%26keywords%3Dbetaine%2Bpepsin%26qid%3D1657856519%26sprefix%3Dbetaine%2Bpepsin%252Caps%252C202%26sr%3D8-1-spons%26psc%3D1&qualifier=1657856519&id=3242496116066107&widgetName=sp_atf,2022-07-14,23:42
"SOLARAY – Betaine HCI with Pepsin, 650mg | High Potency with Pepsin | Digestive Health | Dietary Supplement | Non-GMO, Vegan, Lab Verified | 100 Vegetarian Capsules",22.46,0.22,https://www.amazon.ca/Solaray-Betaine-Pepsin-650mg-VegCaps/dp/B088G17W22/ref=sr_1_4?crid=10V335RG31K4D&keywords=betaine+pepsin&qid=1657856519&sprefix=betaine+pepsin%2Caps%2C202&sr=8-4,2022-07-14,23:42
"SOLARAY – Betaine HCI with Pepsin, 650mg | High Potency with Pepsin | Digestive Health | Dietary Supplement | Non-GMO, Vegan, Lab Verified | 100 Vegetarian Capsules",22.6,0.23,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A038234136WST3W73G102&url=%2FSolaray-Betaine-Pepsin-650mg-VegCaps%2Fdp%2FB088G17W22%2Fref%3Dsr_1_3_sspa%3Fcrid%3DDU7JCTMAG5WL%26keywords%3Dbetaine%2Bpepsin%26qid%3D1658296757%26sprefix%3Dbetaine%2Bpepsin%252Caps%252C245%26sr%3D8-3-spons%26psc%3D1&qualifier=1658296757&id=6146512739764381&widgetName=sp_atf,2022-07-20,01:59
"SOLARAY – Betaine HCI with Pepsin, 650mg | High Potency with Pepsin | Digestive Health | Dietary Supplement | Non-GMO, Vegan, Lab Verified | 100 Vegetarian Capsules",22.6,0.23,https://www.amazon.ca/Solaray-Betaine-Pepsin-650mg-VegCaps/dp/B088G17W22/ref=sr_1_5?crid=DU7JCTMAG5WL&keywords=betaine+pepsin&qid=1658296757&sprefix=betaine+pepsin%2Caps%2C245&sr=8-5,2022-07-20,01:59
"Thorne Research - B.P.P. (Betaine/Pepsin/Pancreatin) - Comprehensive Blend of Digestive Enzymes - 180 Capsules",74.47,0.41,https://www.amazon.ca/Thorne-Research-Pancreatin-Comprehensive-Digestive/dp/B07B6F72DD/ref=sr_1_39?crid=DU7JCTMAG5WL&keywords=betaine+pepsin&qid=1658296757&sprefix=betaine+pepsin%2Caps%2C245&sr=8-39,2022-07-20,01:59
"Thorne Research - Betaine HCL & Pepsin - Digestive Enzymes for Protein Breakdown and Absorption - 225 Capsules",43.75,0.19/Count,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01243922GPMJ6BEC2HVJ&url=%2FThorne-Research-Digestive-Breakdown-Absorption%2Fdp%2FB07B6G7TS5%2Fref%3Dsr_1_2_sspa%3Fcrid%3DDU7JCTMAG5WL%26keywords%3Dbetaine%2Bpepsin%26qid%3D1658296757%26sprefix%3Dbetaine%2Bpepsin%252Caps%252C245%26sr%3D8-2-spons%26psc%3D1&qualifier=1658296757&id=6146512739764381&widgetName=sp_atf,2022-07-20,01:59
